Title,Company,Location,Salary,Description
MS SQL Server Developer,FactEntry Data Solutions Pvt Ltd,"Vellore, Tamil Nadu","₹3,00,000 - ₹10,00,000 a year","Have both SQL DBA and SQL developer skillsets.Work closely with application developers and other stakeholders, understand requirements clearly and provide…"
Sr. Python Developer- 3+ Experience,SplendorNet Technologies,"Pune, Maharashtra",None,Extensive experience of working on.Experience in building highly scalable web services/APIs.Strong understanding of the web development cycle and programming…
PYTHON DJANGO DEVELOPER JOB,Buzzworks,India,"₹3,50,000 - ₹5,00,000 a year","Find and eliminate any bottlenecks that might result from inefficient code.To confirm the functionality of software, create a wide range of unit tests."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Web Developer,Johnnette Technologies,"Noida, Uttar Pradesh",None,Fair understanding of building RESTful APIs.Good understanding of the operating system and networking concepts.
Python/Web Developer,Qantom Software,"Bengaluru, Karnataka",None,Candidate should have worked on or have practical knowledge on developing applications using python.Additionaly He/She should have worked on server-side web…
Python Developer,Buzzing Soft,"Surat, Gujarat","₹3,00,000 - ₹6,00,000 a year",Here are some of the skills that are a must to become an efficient developer in Python.Communication skills – effective and amicable communication between…
"Fullstack Developer (Python, Ansible ,JavaScript)",Jobs for Humanity,"Pune, Maharashtra+1 location",None,"Experienced (relevant combination of work and education).0% Full Stack Developer (Python, Ansible, JavaScript) - Bangalore/Pune - 7 to 10 years."
Web Developer,KlickIT Solutions & Services,"Mumbai, Maharashtra","₹25,000 - ₹40,000 a month",Front-end Developer:* Front-end developers are responsible for implementing the design into a functional website.Total work: 5 years (Required).
"CACI India - Lead Developer (Python, AWS)",CACI Ltd,"Hyderabad, Telangana",None,Experience leading a team of developers to deliver a commercial product.10+ years working as a software developer on complex systems which includes substantial…
Senior Python Developer,Innover Systems Pvt Ltd,"Pune, Maharashtra","Up to ₹10,00,000 a year",Integration of user-facing elements developed by front-end developers with server side logic.Experience:* 4 to 7 years.Working Knowledge of SQL and databases.
Sr. Python Developer,asquarelanguages.com,"Sahibzada Ajit Singh Nagar, Ludhiana, Punjab","₹2,81,706 - ₹13,99,302 a year",Python developers are computer programmers who specialize in writing server-side web application logic.They also connect applications with third-party web…
Lead Python Developer,BigShyft,"Bengaluru, Karnataka",None,We are looking for a Python Developer to join our engineering team and help us develop and maintain various software products.
Web Developer,VISUAREAL,"Ahmedabad, Gujarat","₹15,000 - ₹25,000 a month","Collaborating with other team members: You may work with designers, project managers, or other developers to create and launch websites."
Python/Django Developer,Senscript Technologies Pvt Ltd,"Kochi, Kerala","₹35,000 - ₹55,000 a month",Python Django Developers with 3-5 years hands-on experience.Design and implement Python code using the Django framework.Manage the security of the platform.
Python Developer,CloudNow Technologies,"Visakhapatnam, Andhra Pradesh",None,"The successful candidate will be responsible for designing, developing, and maintaining the software components of the application, as well as integrating them…"
Python Developer,Magenta Connect,"Ahmedabad, Gujarat",None,"Come up with innovative solutions to the hurdles that confront us on a day-to-day basis.Troubleshoot, test and maintain the core product software and databases…"
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Sr. Python Developer,Code Brew Labs,"Bengaluru, Karnataka","₹20,000 - ₹50,000 a month","Artificial Intelligence / Machine Learning (both are mandatory)*.Python Developer responsibilities include writing and testing code, debugging programs and…"
Python Developer,EyeT Innovations Software Solutions,"Edapalli, Kerala",None,"Participate in code review and provide feedback to other developers.You will work closely with our team of developers, designers, and project managers to…"
Python Full Stack Developer,Episeio business solutions,"Andheri, Mumbai, Maharashtra","₹5,00,000 - ₹8,00,000 a year","Executes software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to build…"
Tax Technology & Transformation Executive: Python,KPMG,"Mumbai, Maharashtra",None,BE/BTech degree in IT/Computer Science or BCA or BSc degree in Computer Science or any graduation degree with Analytics Course Certifications.
Senior Software Developer,Botman,"Bengaluru, Karnataka","₹5,00,000 - ₹6,00,000 a year",The requirement is for a hands-on developer who shall be involved in the actual coding & development and deployment.
Python Developer,InnOvator Web Solutions,"Malad, Mumbai, Maharashtra",None,Strong experience using Web Services and API’s in python.We are looking for a Python Web Developer responsible for managing the interchange of data between the…
Quantitative Developer (Python),Millennium Management LLC,"Bengaluru, Karnataka",None,We are assembling a strong technology team to build our next generation in-house risk and analytics tools.Three to Five years of development experience with…
AI Speech Systems Developer,Cynapto Technologies Pvt. Ltd.,"Remote in Mumbai, Maharashtra","₹10,00,000 - ₹18,00,000 a year",We are seeking an experienced developer to join our team and work on an exciting project involving advanced AI technologies.
Full Stack Developer,DS Techworks Solutions Pvt Ltd,"Delhi, Delhi","₹3,52,988 - ₹15,33,925 a year","Collaborate with cross-functional teams including designers, frontend developers, and project managers to ensure smooth end-to-end development and deployment…"
Python Developer,Speridian,"Bengaluru, Karnataka",None,"Python ,Django, HTML, CSS, Jquery, JavaScript, Bootstrap.Development in Python and Django.Databases : MySQL, SQL server, Oracle (with and without ORM)."
Backend Developer,MockTheta,"Hyderabad, Telangana",None,Work closely with other developers and quality assurance engineers.Here is a great opportunity to work for our MNC partner that's a world renowned company.
Python Developer,Cruzze Solutions,"Coimbatore, Tamil Nadu",None,"Hands on experience in Python, Django Framework, REST API & Python libraries, HTML5/CSS/Javascript, jquery, Ajax, MYSQL, SQL Server, Python unit testing,…"
Data Analysis & Interpretation Application Developer,Accenture,"Bengaluru, Karnataka+1 location",None,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security.Work Experience :6-8 years."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python Developer,Yenmin Groups,"Chennai, Tamil Nadu","From ₹15,000 a month","Experience- 1 to 2 years.Education: Any degree in computer/ B.E.Expert in Python, with knowledge of at least one Python web framework *(such as Django, Flask,…"
Tech Lead - Python developer,Mystifly Global Consolidation & Technology...,"Bengaluru, Karnataka",None,Minimum 5 years of hands-on experience in software application development as a Python developer.Job Summary – Tech Lead - Python.
ADAS/AD - Maps and Localization - Senior Developer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",None,"Experience in python scripting is an advantage o Experience in the automotive industry, especially in ADAS domain, is an advantage."
Python Developer,uviQo,"Thiruvananthapuram, Kerala","₹5,00,000 - ₹6,00,000 a year","3 years experience developing software using python and the various tools in the Python ecosystem (pip, pypi, virtualenv, pyenv, etc.)."
Senior Python Developer,TURABIT SOLUTIONS,India,None,Knowledge of AWS cloud and python Boto lib.You will develop and extend the Turabit platform.Writing effective and scalable Python codes.
Backend Developer – India,Target Integration,India,None,We are seeking a Backend Developer to join our engineering team and help us develop and maintain various software products.
Backend Developer Intern,Roadcast Tech. Solutions Pvt. Ltd.,"Delhi, Delhi","₹12,000 - ₹18,000 a month","Documenting and testing new software applications.Researching, investigating and fixing a wide range of technical issues.Total work: 1 year (Preferred)."
Python/Pyspark developer,Anblicks,"Hyderabad, Telangana",None,"Hyderabad, Telangana | Full Time.Lead Data Engineers : Python+Cloud+SQL with exposure to Snowflake (8 Year+ Exp)."
Sr. Python Developer,Whitelotus Corporation Pvt Ltd,"Ahmedabad, Gujarat","₹3,00,000 - ₹7,00,000 a year",Integration and development of backend systems.Experience with http 2 and http 3 (quic) protocols is a plus.Knowledge of building docker container images is a…
Software Developer,Zeomega Infotech,"Bengaluru, Karnataka",None,The Software Developer encompasses a wide range of responsibilities.This role should be able to handle Object-oriented Design and Analysis and Integrate…
Python/Django Developer,TRUSTTECH SOLUTIONS,"Kochi, Kerala","₹25,000 - ₹35,000 a month",Integrate user-facing components built by front-end developers with the logic of the back end.Design and deliver rest APIs using Django.
Python/Django Lead Developer,Verificient Technologies,"Pune, Maharashtra",None,"Comfortable collaborating with designers, front-end developers and other team members.Plan, architect, integrate, and develop back-end and database driven…"
Senior Backend Developer,UAS International Trip Support,"Remote in Bengaluru, Karnataka","₹15,00,000 - ₹25,00,000 a year","Liaise with developers, designers, and system administrators to identify new features.Collaborate with Front-end developers to integrate user-facing elements…"
Full Stack Developer,Rabbit And Tortoise Technology Solutions,"Pune, Maharashtra","From ₹6,00,000 a year","As Senior Full Stack Resource, Your primary responsibility will be to design, architect and develop product features for Customer Products offering using…"
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Senior Software Developer ( Python ),CIS,"Indore, Madhya Pradesh",None,"This role uses skills of a seasoned, experienced professional with a full understanding company policies and procedures.Social Media and other API integration."
Backend Developer,Sukshi,"Hyderabad, Telangana",₹200 an hour,"You will be working on integrating, supporting, scaling different microservices on which we run the state of the art Machine Learning algorithms developed using…"
Python/Django Developer,Arting Digital,"Ahmedabad, Gujarat","₹10,00,000 - ₹14,00,000 a year","Must have Knowledge of Different libraries like pyspark, tensorflowof python.Minimum 70% of Exp. or at least 3.5 years in either fastapior flaskframeworks is…"
Python Developer,Litost India,"Greater Noida, Uttar Pradesh",None,️Previous working experience as a PHP developer for a minimum of 1 to 5 years.️ IT Software - Client/Server Programming.️Knowledge of Django framework.
Senior Software Developer,Machadalo,Remote,"₹10,00,000 a year","Knowledge in using these technologies : Django python, PHP, Native react, React, Angularjs, celery.Will be responsible for developing our integrated platform…"
Web3.0 Developer – Fresher Featured,Mobiloitte Technologies,"Delhi, Delhi",None,"Participate in coding, debugging, and troubleshooting tasks under the guidance of senior developers.Gain hands-on experience in working with blockchain…"
AD/ADAS MBD Developer - Collision Avoidance,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",None,"Individual role, having 2-3 years of experience in automotive SW development.Development of ADAS safety function algorithms as per the system requirements."
Python Developer,Stepping Stone,"Kochi, Kerala","From ₹25,000 a month",3 years experience developing software using python and the various tools in the.Help design and implement functional requirements.Coach junior team members.
Mid Level Python Engineer,Everestek,"Mumbai, Maharashtra",None,Develop microservices in python using Flask.Develop common libraries and frameworks in python.Work closely with test developers to help them write automation…
Python Developer,SSSI Tutoring Services,"Noida, Uttar Pradesh",None,"You will be working with cutting edge product development team to deliver highly scalable solutions.Designing, Coding, Debugging, and Deploying applications."
Senior Python Developer,HighWire Press,"Noida, Uttar Pradesh",None,"Working with Product Managers, developers, and other internal stakeholders, you will design new visualizations in Tableau Desktop and add new features and…"
Python/Django Developer,TRooTech Business Solutions,"Remote in Ahmedabad, Gujarat","₹1,40,000 a month","Experience 5+ Years Experiance in Python.Greetings from TRooTech Business Solutions!.Writing reusable, testable, and efficient code."
ReactJS Developer,legalwings24,"Bengaluru, Karnataka","₹15,00,000 - ₹18,00,000 a year","React JS, HTML/CSS, and AWS.HTML5, CSS, ReactJS/Angular, UI technologies, JavaScript Frameworks. Bachelors or master’s in computer science, Engineering,…"
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Front End Developer,IndiGG,"Bengaluru, Karnataka","₹10,00,000 - ₹20,00,000 a year",Software Developement Engineer-Full Stack*.Solid system design and architecture skills.Understand end-to-end software development and deployment lifecycle.
Data Engineer Aws Python Developer,Systems Plus Transformations,Remote,"₹20,00,000 - ₹25,00,000 a year","1.Hands-on practical experience delivering system design, application development, testing, and operational stability.3.Proficient in any programing language."
Python Developer,Calsoft,"Pune, Maharashtra",None,"Good In Basics python skills i e (python iterator , Oops , python generator).3 to 10 years in system programming experience in Python in Linux/Unix environment…"
Database and Node or Python Developer,QuickElf,"Kolkata, West Bengal",None,"Total experience of 1-2 yrs.Knowledge of RDBMS design concept.Experience in database development of any RDBMS tool (Oracle, SQL, MySql."
Python Developer,Webllisto,"Indore, Madhya Pradesh",None,"Python Developer responsibilities include writing and testing code, debugging programs and.Integrating applications with third-party web services."
Full Stack Developer - Django,Webchirpy,"Coimbatore, Tamil Nadu","₹15,000 - ₹30,000 a month",Be able to integrate user-facing elements developed by front-end developers with server-side logic.You will be building revolutionary product solutions for the…
Software Developer - Cloud Infra services Automation,Digitalxc.com,"Remote in Bengaluru, Karnataka","₹4,50,000 - ₹8,00,000 a year","Good programming knowlege in languages of their choice.Ability to develop scripts in Python, Powershell, Linux shell or any other technologies of their choice."
Python Developer,Webority Technologies,"Gurgaon, Haryana",None,"Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services."
Python Developer,Zenga TV,"Gurgaon, Haryana",None,"Translate application storyboards and use cases into functional applications.Ensure the best possible performance, quality, and responsiveness of applications."
Python Developer,Mxpertz,"Indore, Madhya Pradesh",None,Develop back-end components to improve responsiveness and overall performance.Integrate user-facing elements into applications.
Python Trainer,One Team Solutions,Remote in Remote,"₹15,000 - ₹30,000 a month",The candidates should know the Tamil language well.Deliver training on basic and advanced Python courses.Help students in the practical execution of Python…
Platform Engineering Manager,"CloudPlinth, Inc.","Hyderabad, Telangana",None,"As a Platform Engineering Manager, you will play a key role in leading and managing a team of talented engineers responsible for developing and maintaining our…"
Python Developer,Akra Tech,"Chennai, Tamil Nadu",None,"The candidate is expected to have a good track record in applying machine learning models in python and carry past experience indeveloping, troubleshooting and…"
Java Developer,Talent Folks,"Remote in Bengaluru, Karnataka","₹4,00,000 - ₹6,00,000 a year","Design, build, and maintain our cloud-based infrastructure and platform using Java/Python/ Go and.Work closely with DevOps, Security, and Product teams to…"
Backend Developer,Knot Solutions,"Hyderabad, Telangana",None,"4 - 8 Years of experience in Java along with advanced skills implementing API Service architectures (SOAP, REST) using any of the market leading API Management…"
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Sr. Python Developer,Logix Built Solutions Pvt. Ltd,"Surat, Gujarat",None,"Expertise in popular Python framework (like Django, Flask or Pyramid).Familiarity with SQL/NoSQL databases.Knowledge of object-relational mapping (ORM)."
Sr. Python Developer,credence tracker,"Nagpur, Maharashtra","₹9,521 - ₹44,889 a month","Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services."
Python Developer – Django/ Flask,GlobalHunt Technologies,"Noida, Uttar Pradesh","₹8,00,000 - ₹12,00,000 a year","Understand the specifications to define system requirements.Analyze, design, code, debug, test, document and deploy changes to the system."
Intern Developer - Python,BeyonData Solutions,"Ahmedabad, Gujarat",None,(3) Candidate having relevant skills or certifications related to the domain will be additional benefit.
Python Developer,Annuity Risk India,"Chennai, Tamil Nadu","₹6,00,000 - ₹9,60,000 a year",You will report directly to founders and work closely with our core engineering team to build analytical applications for data analysis and visualization using…
Full Stack Developer,CIGNEX Datamatics,"Bengaluru, Karnataka",None,"Strong Knowledge in Java8 , Python, Javascript(es6), React/Redux, Spring5 , Springboot , Springcloud ,NodeJS, HTML5/CSS3.Need to be AWS certified."
Senior Python Developers,PlanetOdoo,"Malad, Mumbai, Maharashtra",None,Help design and implement functional requirements.Build efficient back-end features in Python.Integrate front-end components into applications.
Tableau Developer,ASPB Services Pvt Ltd,"Ahmedabad, Gujarat","₹5,36,211 - ₹20,88,179 a year","Good to have exposure to other tools like Qlikview, SiSense and experince of python, R etc.Must have knowledge of developing tableau reports."
Python Full Stack Developer,ACS Solutions,"Hyderabad, Telangana",None,"Hyderabad, Noida, Kanpur, Bangalore, Chennai, and Salem 3-5 Years years minimum experience Posted 912 days ago Primary Skills: Python frameworks like Django &…"
Software Engineer in Test,Oracle,"Bengaluru, Karnataka",None,"Works closely with software developers to create software artifacts including test plans, test cases, test procedures and test reports."
AL/ML Engineer,CodiniX,"Remote in Noida, Uttar Pradesh",None,"As an AL/ML Engineer, you will be responsible for developing and implementing advanced algorithms and machine learning models to drive insights and innovation."
Python Developer (QGIS Experience),Travitons Technologies,"Pune, Maharashtra",None,Integration of user-facing elements developed by front-end developers with server side logic.Integration of user-facing elements developed by front-end…
Python Engineer,Boppo Technologies,"Mumbai, Maharashtra",None,"Integration of user-facing elements developed by front-end developers with server side logic.Hands on experience with Django, Flask or other Python frameworks."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Software Developer - Python,Contify,"Gurgaon, Haryana",None,"Intelligence (MCI) platform to help professionals make informed decisions.Etc., track information on their competitors, customers, industries, and topics of."
Full-Stack Developer / Programmer,DKI Health,"Bengaluru, Karnataka",None,"10+ years as a full-stack developer.Users can import citations from popular libraries, import images, and build-in tables.Proficiency in the English language."
PYTHON DEVELOPER,CodeTrade.io,"Ahmedabad, Gujarat",None,"E, B.C.A prior to M.C.A.1+ year of development experience with Flask framework and core Python.Production level deployment experience using Nginx, Gunicorn,…"
Frontend Engineer (UI),"Tessell, Inc.","Bengaluru, Karnataka",None,You will build highly-scalable and reliable user interfaces bridging the enterprise world with the consumer experience.Mentor and coach junior team members.
UiPath Developer - Consultant -Sr Consultant,InfoDriven Solutions Pvt. Ltd.,"Remote in Bengaluru, Karnataka","Up to ₹15,00,000 a year","Scripting languages (e.g., python, perl, powershell, bash, vbs, etc.).Scripting languages (e.g., python, perl, Powershell, bash, vbs, etc.)."
Fullstack Engineer,Helius Technologies,Remote in India,None,"React and React Native, Typescript, and Python.Be hands-on, and develop new product features for back office and rider facing."
ReactJS Developer,w2solution,"Chennai, Tamil Nadu","₹2,64,959 - ₹5,00,000 a year",Lead a team of Full Stack Developers in building Cloud Products/Solutions Participate in R&D activities led by architects.Total work: 3 years (Preferred).
Talend ETL Developer,Ellicium,"Pune, Maharashtra",None,"Knowledge and experience with coding languages, including Java, python, and bash.We enable business transformation through Big Data, Analytics,."
Java Developer at formsflow.ai,AOT Technologies,Remote,None,"Utilize your 3+ years of Java expertise to craft high-quality, performant, and scalable solutions.Showcase your skills in designing and implementing RESTful…"
Senior Python Developer,Intech Online Pvt Ltd,"Thane District, Maharashtra","Up to ₹9,00,000 a year","4+ years of experience developing python application.As a Senior Software Developer, you will play a crucial role in designing, developing, and maintaining…"
E-Commerce Web Developer,VINIL IT SERVICES PVT LTD,"Hyderabad, Telangana","₹35,000 - ₹40,000 a month",These skills allow ecommerce developers to create and maintain websites and applications.Technical skills:* Ecommerce developers must thoroughly understand…
Python Back-end Engineer,True Data Software,Remote,None,We are looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients.
Python Developer,Resulticks,"Chennai, Tamil Nadu",None,"Develops information systems by studying operations; designing, developing, and installing software solutions; supports and develops software team."
Java Developer_ JAVA J2EE ADF SOA,Aliqan Technologies,"Hyderabad, Telangana","₹1,00,000 - ₹2,00,000 a month",Collaborate with front-end developers and web designers to improve usability.Training team members and mentoring junior developers with delegated tasks and.
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Software Engineer (Python Developer),RMSI,Remote,None,2 to 5 years of relevant work experience in designing and building the front-end architecture for an enterprise system.Working experience on Django framework.
Python Lead,Smart IMS,Telangana,None,Required relevant experience in years : 4-10 years.Help design and implement functional requirements.Expertise in at least one popular Python framework (like…
Developer,Standard Chartered,"Bengaluru, Karnataka",None,Responsible for Change and Release management that meets the agreed timelines.Review the Docs as part of SDLC process.Banking experience is a plus.
Senior Software Engineer - Python,Harbinger Group,"Hinjewadi, Pune, Maharashtra",None,"2.Proven experience as a software developer, with a focus on Python & MongoDB database development.2.Collaborate with cross-functional teams, including product…"
Python Lead,Pace Wisdom Solutions,"Bengaluru, Karnataka",None,"Experience in leading and managing a team of developers.Lead a team of Python developers, providing technical guidance, mentoring, and support."
Release Developer 3,Oracle,"Bengaluru, Karnataka",None,"This requirement is for DevOps related works.5+ years of experience working with one or multiple major cloud platforms (OCI, AWS, Azure, GCP)."
Cryptocurrency Developer,Jobstop Solutions Pvt Ltd,"Kolkata, West Bengal","₹15,00,000 - ₹20,00,000 a year","Solution will normally be done by a junior developer from the team).O Java (at least v1.8); Spring Boot, Spring Security, Spring JPA with Hibernate, JUnit."
Python Developer,PDV Technocrats,"Kothrud, Pune, Maharashtra",None,Act as a subject matter expert for Application Software developers and Engineers.Education: Bachelor s Degree in Engineering or equivalent.
Sr. Python Developer,AUS pvt ltd,"Chennai, Tamil Nadu","₹12,00,000 - ₹13,00,000 a year",We have opening for Python Developer Interested send me cv.Bachelor’s or Master Degree CS/IT.EXPERIENCE :3 to 5 Yrs*.Total work: 5 years (Required).
AWS Developer ( SQL Server/ Glue/ Python/ C#),AIT Global India,India,None,Should have worked in AWS Glue technology.Should be good with SQL Queries.Must have knowledge of Python and PySpark with using AWS services into the current…
Python Developer,Agilitegroup,"Remote in Thiruvananthapuram, Kerala","₹16,00,000 - ₹22,00,000 a year","CTC: INR 16-22L/ Annum.The Agilite Group is a professional services company specializing in Data Integration, Business Intelligence, AI/ML, Analytical and Big…"
Java / Python (amantya Tech),Nityo Infotech,"Delhi, Delhi",None,Junior Software Engineer Backend and Cloud – Level 2.1 Job Description: The responsibilities of the Connected Vehicle Software Developer include but are not…
Python Developer,talent-O-scope,"Kolkata, West Bengal","₹2,00,000 - ₹4,50,000 a year",Python Developer with Minimum 1 year experience.Overall software development experience of Minimum 2 years.Salary 2 Lac To 4 Lac 50 Thousand P.A.
Python API Developer,Entomo,"Bengaluru, Karnataka",None,"Hands-on experience in Python, SQL, and python libraries like Numpy, Pandas, Matplotlib/Seaborn, SciPy and Sklearn.Join us to build enterprises of tomorrow."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python Developer,BoTree Technologies,"Ahmedabad, Gujarat",None,We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users.
Backend Python Developer,Superior Group,"Bengaluru, Karnataka",None,"Proven work experience as a Python Back-end developer, microservice.Collaborate with other developers to integrate user-facing elements with server-side logic."
Microsoft Robotic Process Automation Application Developer,Accenture,"Mumbai, Maharashtra",None,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security.Work Experience :2.5-4 years."
Python Developer,Axnol Digital Solutions,"Thiruvananthapuram, Kerala",None,Integration of user-facing elements developed by front-end developers with server side logic.Solid experience as Python Developer.
Full Stack Developer,Roy Informatics Pvt. Ltd.,"Remote in Kolkata, West Bengal","₹12,500 - ₹15,000 a month",You will work closely with our team of designers and developers to ensure the seamless integration of user-facing elements with server-side logic.
Python Django Developer,Adagrad AI,"Pune, Maharashtra",None,Co-ordinate and manage third party developers for front end.Adagrad is seeking a talented Django Engineer with experience in developing scalable web…
Software Developer - Commercial experience required,ICS Legal,"Remote in Goa, Goa","₹35,000 - ₹60,878 a month","The full stack developer will work on NodeJS and React-Redux.We’re looking for an experienced web developer with Wordpress, php, Python, java and node js…"
Python Developer,Crest Infosystems,"Remote in Surat, Gujarat",None,"We are looking for a Python developer who is proficient with python .Clean and thorough coding with a detailed understanding of business logic, with developer…"
Python Developer,Unikove Technologies,"Noida, Uttar Pradesh",None,"Relevant Experience 2-4 years.Experience as a Python Developer using Python 2.x & Python 3.x.Good Expertise on developing RESTful APIs, requiring…"
Full Stack Developers,SourceTal Hiretech,"Hyderabad, Telangana",None,Fullstack Software developers with Strong Java or Python background.
Python Developer-GMK-MUM (Remote),Getinz Techno Services,Remote,None,"Hiring Python Developer for an advanced robotics startup.Skills: Python, Django/Flask, Multithreading, SQL, Kafka, Websocket."
Splunk Administrator/Developer-AppDynamics/Java/Python,MNJ Software,Remote,None,Energize your career with one of Information Technology’s fastest growing companies.You dream of a great career with a great company – where you can make an…
Java/python,Nityo Infotech,"Delhi, Delhi",None,Senior Software Engineer (Cloud & Backend) – L2.2 Job Description: The responsibilities of the Connected Vehicle Sr Software Developer include but are not…
Python Developer,Tax Genie,"Mumbai, Maharashtra",None,"The candidate must have expertise in Python 3+, with knowledge of at least one Python web framework i.e. Django."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Sr. Java Python Developer,Harman International,"Bengaluru, Karnataka",None,"5 to 8 years of experience as Java developer.HARMAN’s engineers and designers are creative, purposeful and agile.Experience in Linux is required."
Senior Python Developer,Q2ebanking,"Hybrid remote in Bengaluru, Karnataka",None,As passionate about our people as we are about our mission.What We’re All About:Q2 is proud of delivering our mobile banking platform and technology solutions…
Python Developer,Green Gold,India,None,We are seeking a talented Pipeline Developer focused on improving various automated systems for all studio departments.Code must be clean and well-commented.
Python Developer,Root Info Solution,"New Delhi, Delhi",None,"Key Skills : - Python 2, Python 3, Django, Javascript, HTML, PostgreSQL/MYSQL,REST API, Celery RabbitMQ, Redis.Knowledge of object-relational mapping (ORM)."
Software Engineer 3,Oracle,"Bengaluru, Karnataka",None,"Provide technical leadership to other software developers.OCI Data Catalog service is a key strategic service among data services, it is a metadata management…"
Plotch.Ai - Jr. Python Developer,ConsultBae,Remote in India,None,Well-versed with OOPS concepts and must have developed custom.Worked on scalable web-based products.Python - 0-1 years experience.
Backend Developer,Talview,"Bengaluru, Karnataka","₹12,00,000 - ₹20,00,000 a year",3+ years of solid back-end experience with languages like Go/Python/JavaScript/Ruby writing atomic scalable micro services.
Full Stack Developer,BigShyft,"Delhi, Delhi","₹11,00,000 - ₹18,00,000 a year","Code review, guiding junior developers to help them excel at their job.Contribute to system design and architectural design of software solutions."
Backend Developer,Actuals India Pvt Ltd,"Bengaluru, Karnataka","₹6,00,000 - ₹7,50,000 a year",Code Maintenance: Participate in code reviews and provide constructive feedback to fellow developers.Design and Develop: Collaborate with the product team and…
Full Stack Developer,GoldenPi Technologies,"Bengaluru, Karnataka",None,"Write maintainable, scalable, and efficient code.Follow coding standards, unit-testing, code reviews etc.Technically lead and mentor junior team members."
Microsoft Power BI Application Developer,Accenture,"Bengaluru, Karnataka",None,Key Responsibilities : 1 Power BI developing reports or managing a tenant 2Work on technical support or technical consulting 3 handiling data analytics or data…
Blockchain Developer,Hack2skill,"Noida, Uttar Pradesh","₹4,00,000 - ₹8,00,000 a year","An outstanding blockchain developer will be someone whose expertise translates into secure, fast, and efficient digital transactions."
Python Developer,ZURU Tech,"Kolkata, West Bengal",None,"We at ZURU develop the Zuru Home app, a BIM software meant for the general public, architects, and engineers, from here anyone can buy, design and send to…"
Software Engineer / Sr. Software Engineer (PERL & PYTHON Developer),Ninestars Information Technologies,"Bengaluru, Karnataka",None,"Need to develop the new script using Perl & Python.Need to analyse the existing script and do new changes.Need to interact with QA team, Deployment team."
Job Opportunity Python Developer,TNT,"Remote in Bengaluru, Karnataka","From ₹4,36,781 a year","EKaushal (www.ekaushal.com) is a skill ecosystem platform which helps to run, manage, monitor, analyze and predict.Python 3.11 -> Main Programming Language."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
UI/UX Developer,Altair Engineering,"Bengaluru, Karnataka",None,Interested and proficient in UI/UX dev (preferably Qt/unity).Strong proficiency in C++ and Python.Comfortable working in both Windows and Linux.
Python Developer,Elxer Communications,"Raipur, Chhattisgarh",None,"Python Developer responsibilities include writing and testing code, debugging programs, and integrating applications with third-party web services."
Lead Python AIML,Brainvire,"Mumbai, Maharashtra",None,"Should be well versed with Python basics + rest frameworks(Django/Flask/Falcon + Scripting) MySQL, Aws Services (EC2, Lambda, S3, Dynamo DB) Jenkins / CI-CD…"
Python Django Developer,TechSpawn Solutions,"Pune, Maharashtra","₹2,00,000 - ₹5,00,000 a year","Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services."
Python Developer,Adhoc Softwares,"Coimbatore, Tamil Nadu",None,Coordinating with front-end developers.We are looking for an experienced Python developer to join our engineering team and help us create dynamic software…
